Titre,Auteur,Date,Type,Link
Effectiveness of continuous glucose monitoring in maintaining glycaemic control among people with type 1 diabetes mellitus: a systematic review of randomised controlled trials and meta-analysis.,Teo E,2022,Journal Article - Meta-Analysis - Review - Systematic Review,https://pubmed.ncbi.nlm.nih.gov/35141761
ACOG Practice Bulletin No. 201: Pregestational Diabetes Mellitus.,American College of Obstetricians and Gynecologists' Committee on Practice Bulletins—Obstetrics,2018,Journal Article - Practice Guideline,https://pubmed.ncbi.nlm.nih.gov/30461693
Management of Hyperglycemia in Hospitalized Adult Patients in Non-Critical Care Settings: An Endocrine Society Clinical Practice Guideline.,Korytkowski MT,2022,"Journal Article - Practice Guideline - Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/35690958
Effects of Continuous Glucose Monitoring on Metrics of Glycemic Control in Diabetes: A Systematic Review With Meta-analysis of Randomized Controlled Trials.,Maiorino MI,2020,Journal Article - Meta-Analysis - Systematic Review,https://pubmed.ncbi.nlm.nih.gov/32312858
"Impact of fat, protein, and glycemic index on postprandial glucose control in type 1 diabetes: implications for intensive diabetes management in the continuous glucose monitoring era.",Bell KJ,2015,Journal Article - Review - Systematic Review,https://pubmed.ncbi.nlm.nih.gov/25998293
Glucose management for exercise using continuous glucose monitoring (CGM) and intermittently scanned CGM (isCGM) systems in type 1 diabetes: position statement of the European Association for the Study of Diabetes (EASD) and of the International Society for Pediatric and Adolescent Diabetes (ISPAD) endorsed by JDRF and supported by the American Diabetes Association (ADA).,Moser O,2020,"Journal Article - Practice Guideline - Research Support, Non-U.S. Gov't",https://pubmed.ncbi.nlm.nih.gov/33047481
Continuous glucose monitoring in patients with type 2 diabetes on hemodialysis.,Gallieni M,2021,Journal Article - Systematic Review,https://pubmed.ncbi.nlm.nih.gov/33743082
Different methods and settings for glucose monitoring for gestational diabetes during pregnancy.,Raman P,2017,"Journal Article - Meta-Analysis - Research Support, Non-U.S. Gov't - Review - Systematic Review",https://pubmed.ncbi.nlm.nih.gov/29081069
Effect of divergent continuous glucose monitoring technologies on glycaemic control in type 1 diabetes mellitus: A systematic review and meta-analysis of randomised controlled trials.,Elbalshy M,2022,"Journal Article - Meta-Analysis - Research Support, Non-U.S. Gov't - Review - Systematic Review",https://pubmed.ncbi.nlm.nih.gov/35441743
Effects of real-time continuous glucose monitoring in type 1 diabetes: a meta-analysis of randomized controlled trials.,Dicembrini I,2021,Journal Article - Meta-Analysis,https://pubmed.ncbi.nlm.nih.gov/32789691
